"IEA fossil fuel subsidies database","","","","","","","","","","","","","","",""
"© 2024 IEA","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Unit: Real 2023 million USD","","","","","","","","","","","","","","",""
"","","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Qatar","Electricity","2,294.2","2,124.9","2,160.9","1,999.6","2,523.5","2,047.2","821.7","936.7","1,347.2","273.2","550.2","4,178.0","4,925.0","2,300.2"
"Qatar","Gas","1,668.3","1,138.7","1,725.9","1,696.9","2,029.3","1,622.3","527.7","838.5","1,185.3","3.5","-","3,646.6","3,725.1","1,944.6"
"Qatar","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Qatar","Total","5,934.6","5,899.2","6,181.7","6,310.5","6,776.5","4,465.7","1,724.9","2,320.1","2,981.1","654.9","778.7","8,422.0","10,225.5","5,147.9"
"Russia","Oil","-","-","-","-","-","6,581.5","4,678.9","5,780.7","8,516.6","6,446.6","6,204.5","7,975.7","21,159.0","24,804.5"
"Russia","Electricity","19,515.5","17,698.6","19,106.0","18,839.1","19,366.7","22,324.0","28,464.3","12,385.4","18,687.9","12,327.0","10,719.0","46,310.4","86,429.4","48,281.3"
"Russia","Gas","16,612.6","18,815.8","18,078.9","17,861.5","18,618.8","27,372.2","17,394.0","18,934.1","39,698.1","16,967.6","9,476.0","49,290.9","99,688.8","53,045.8"
"Russia","Coal","-","-","-","-","-","188.1","283.6","353.7","398.6","256.4","226.8","461.3","475.5","177.4"
"Russia","Total","36,128.1","36,514.4","37,184.9","36,700.5","37,985.5","56,465.8","50,820.7","37,453.8","67,301.2","35,997.6","26,626.3","104,038.3","207,752.6","126,308.9"
"SaudiArabia","Oil","38,175.2","54,073.0","57,446.4","57,612.5","56,880.1","43,511.8","27,720.3","33,607.4","27,638.3","24,390.4","13,222.7","18,750.6","34,959.1","32,165.4"
"SaudiArabia","Electricity","18,219.1","17,220.6","17,787.1","16,909.9","16,236.3","16,601.1","13,278.9","13,890.3","9,951.9","6,732.1","6,126.0","15,889.9","24,506.6","17,434.0"
"SaudiArabia","Gas","14,049.8","10,650.3","13,406.7","11,475.2","11,575.4","10,776.5","6,689.2","5,892.2","7,608.9","5,624.0","4,412.3","11,560.5","16,201.6","9,686.4"
"SaudiArabia","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"SaudiArabia","Total","70,444.1","81,943.9","88,640.2","85,997.6","84,691.7","70,889.4","47,688.5","53,389.9","45,199.2","36,746.6","23,761.0","46,201.0","75,667.2","59,285.9"
"SouthAfrica","Oil","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"SouthAfrica","Electricity","-","-","-","-","-","2,335.3","5,530.9","5,256.0","4,647.8","-","-","221.1","5,918.0","-"
"SouthAfrica","Gas","-","6.7","-","-","-","-","-","-","-","-","-","-","-","351.0"
"SouthAfrica","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
